Buyer Name,Type,Industry,Count,Tot Value,Average Size,Minimum Size,Maximum Size,Average Premium,Minimum Premium,Maximum Premium
Four Corners Property Trust Inc,Strategic,REIT,83,840.446,10.1259,0.396,155.7,,0,0
MTY Food Group Inc,Strategic,Leisure Facilities & Services,51,1593.35,41.9301,0.0950823,299.142,24.9459,0,0
JFLA Holdings Inc,Strategic,Leisure Facilities & Services,47,294.085,8.91166,0.0225763,161.154,4.635,0,0
Starbucks Corp,Strategic,Leisure Facilities & Services,44,3362.88,152.858,1.5,1300,16.4814,0,0
Minor International PCL,Strategic,Leisure Facilities & Services,41,1344.87,37.3574,0.0250826,172.444,29.2937,0,0
Jollibee Foods Corp,Strategic,Leisure Facilities & Services,36,1562.92,52.0973,0.3,350,,0,0
Zensho Holdings Co Ltd,Strategic,Leisure Facilities & Services,34,1819.92,101.107,9.51663,625.093,12.0508,0,0
Colowide Co Ltd,Strategic,Leisure Facilities & Services,29,1157.72,64.318,0.790004,279.764,,0,0
Alsea SAB de CV,Strategic,Leisure Facilities & Services,28,1616.33,404.082,128.495,624.676,,0,0
Yum! Brands Inc,Strategic,Leisure Facilities & Services,28,2854.94,178.434,1.92987,670,18.41,0,0
KFC Holdings Malaysia Bhd,Strategic,Leisure Facilities & Services,27,125.459,8.96135,0.0144925,68.432,,0,0
Meritage Hospitality Group Inc,Strategic,Leisure Facilities & Services,24,,,,,,0,0
Carrols Restaurant Group Inc,Strategic,Leisure Facilities & Services,21,124.004,24.8009,2.6,66.6043,,0,0
Whitbread PLC,Strategic,Leisure Facilities & Services,21,7156.74,447.297,2.0736,4751.11,28.6964,0,0
Create Restaurants Holdings Inc,Strategic,Leisure Facilities & Services,21,609.552,46.8886,0.48396,144.143,5.69,0,0
Sonnet BioTherapeutics Holding,Strategic,Biotech & Pharma,21,178.24,22.28,0.56,106,,0,0
Pubs 'n' Bars PLC,Strategic,Leisure Facilities & Services,21,77.6561,4.08716,0.672546,19.4272,,0,0
Kozo Holdings Co Ltd,Strategic,Leisure Facilities & Services,21,95.7136,5.63021,6.45E-09,64.8198,24.53,0,0
Catterton Partners Corp,Strategic,Asset Management,20,5085.96,847.66,9.95,3318.78,,0,0
Roark Capital Group Inc,Strategic,Asset Management,20,11155.4,1859.23,30.25,9600,16.75,0,0
Greene King Ltd,Strategic,Leisure Facilities & Services,20,6150.84,307.542,3.34152,2413.65,28.8467,0,0
Landry's Inc,Strategic,Leisure Facilities & Services,19,1456.03,85.6488,7.6,295,34.7531,0,0
AmRest Holdings SE,Strategic,Leisure Facilities & Services,19,943.577,67.3984,2.30442,280.368,,0,0
DD GROUP Co Ltd,Strategic,Leisure Facilities & Services,18,74.6923,6.79021,0.11654,16.1748,,0,0
Foodtastic Inc,Strategic,Leisure Facilities & Services,18,37.0274,18.5137,10.9816,26.0458,129.31,0,0
Yakiniku Sakai Holdings Inc,Strategic,Leisure Facilities & Services,18,147.994,10.571,0.078438,43.8408,,0,0
