year,month,restaurant_group,investor,deal_amount_m,deal_label,deal_type,deal_date
2018,3,Rosa Mexicano,TriSpan,,Undisclosed,Acquisition,2018-03-01
2020,1,Chopt / Dos Toros (Founders Table),L Catterton,,Undisclosed,Acquisition,2020-01-01
2020,9,Sant Ambroeus,Three Hills Capital,35.0,$35M,Growth investment,2020-09-01
2020,10,Naya,TriSpan,,Undisclosed,Majority stake,2020-10-01
2020,12,Maman,TriSpan,,Undisclosed,Majority stake,2020-12-01
2021,12,Tacombi,EHI (Danny Meyer),27.5,$27.5M,Growth investment,2021-12-01
2023,5,Tao Group,Mohari Hospitality,550.0,$550M,Acquisition,2023-05-01
2023,11,Joe & the Juice,General Atlantic,641.0,$641M,Majority acquisition,2023-11-01
2022,10,Chip City,EHI (Danny Meyer),10.0,$10M,Growth investment,2022-10-01
2024,5,Chip City,EHI (Danny Meyer),7.5,$7.5M,Growth investment,2024-05-01
