Restaurant Group,Investor,Deal,NYC Locations (DOH),Example DBAs
Joe & the Juice,"General Atlantic (sold to Emirates International Investment, Apr 2026)","$641M majority acquisition, Nov 2023",32,"JOE & THE JUICE, JOE & THE JUICE BROAD ST, JOE & THE JUICE GREENWICH ST"
Naya,TriSpan,"Majority stake, Oct 2020",29,"NAYA 1177 6TH AVENUE LLC, NAYA, NAYA EXPRESS"
Maman,TriSpan,"Majority stake, Dec 2020",26,"PETITE MAMAN, MAMAN"
Dos Toros,L Catterton (Founders Table),"Acquisition, Jan 2020",21,"DOS TOROS, DOS TOROS TAQUERIA, DOS TOROS/ZOROS (POST SECURITY)"
Dig / Dig Inn,Enlightened Hospitality Investments (EHI),$15M (2019) + $65M (2021),20,"DIG INN, DIG INN ON BLEECKER, DIG INN SEASONAL MARKET"
Chip City,Enlightened Hospitality Investments (EHI),$10M Series A Oct 2022 + $7.5M Series B May 2024,19,CHIP CITY
Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners,"$35M, Sep 2020",17,"FELICE, SANT AMBROEUS GELATERIA, FELICE 56"
Bluestone Lane,RSE Ventures,Growth capital (undisclosed),14,BLUESTONE LANE
Tacombi,Enlightened Hospitality Investments (EHI),"$27.5M, Dec 2021",11,"TACOMBI AT FONDA NOLITA, TACOMBI"
Milk Bar,RSE Ventures,"Series A (8-figure), Nov 2017",7,"MILK BAR, MILK BAR NOLITA"
Tao Group (Tao/Lavo/Marquee/Cathedrale/Beauty & Essex),Mohari Hospitality,"$550M acquisition, May 2023",6,"BEAUTY & ESSEX, TAO UPTOWN, LAVO NEW YORK"
Sweet Chick,L Catterton (indirect via Founders Table),"Indirect investment, 2022",5,SWEET CHICK
Momofuku,RSE Ventures,"Series A, Dec 2016",4,"MOMOFUKU, MOMOFUKU NOODLE BAR, MOMOFUKU SSAM BAR"
Chopt,L Catterton (Founders Table),"Acquisition, Jan 2020",4,"CHOPT CREATIVE SALAD CO., CHOPT"
Fuku,RSE Ventures (via Momofuku),"Series A, Dec 2016",3,"FUKU - FA6090, FUKU"
Rosa Mexicano,TriSpan,"Acquisition, Mar 2018",3,ROSA MEXICANO
&pizza,RSE Ventures,"$25M+, Oct 2017",0,
