CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,DBA_UPPER,Restaurant Group,Investor
50113361,FELICE,Manhattan,240,COLUMBUS AVENUE,10023.0,Italian,FELICE,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50117747,SANT AMBROEUS GELATERIA,Manhattan,267,LAFAYETTE STREET,10012.0,Frozen Desserts,SANT AMBROEUS GELATERIA,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50099022,FELICE 56,Manhattan,15,WEST   56 STREET,10019.0,Italian,FELICE 56,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50101167,SANT AMBROEUS,Manhattan,200,VESEY STREET,10281.0,Italian,SANT AMBROEUS,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
41701618,FELICE,Manhattan,15,GOLD STREET,10038.0,Italian,FELICE,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50064720,SANT AMBROEUS COFFEE BAR,Manhattan,1136,3 AVENUE,10065.0,Coffee/Tea,SANT AMBROEUS COFFEE BAR,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
40576150,FELICE 64,Manhattan,1166,1 AVENUE,10065.0,Italian,FELICE 64,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50090843,FELICE PASTA BAR,Brooklyn,55,WATER STREET,11201.0,Italian,FELICE PASTA BAR,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
40993101,SANT AMBROEUS,Manhattan,259,WEST    4 STREET,10014.0,Italian,SANT AMBROEUS,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
41120682,SANT AMBROEUS,Manhattan,1000,MADISON AVENUE,10075.0,Italian,SANT AMBROEUS,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
41436878,CASA LEVER,Manhattan,390,PARK AVENUE,10022.0,Italian,CASA LEVER,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
41582081,FELICE 83,Manhattan,1593,1 AVENUE,10028.0,Italian,FELICE 83,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50066554,THE REGENCY BAR & GRILL / SANT AMBROEUS,Manhattan,540,PARK AVENUE,10065.0,American,THE REGENCY BAR & GRILL / SANT AMBROEUS,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50118524,FELICE,Brooklyn,84,MONTAGUE STREET,11201.0,Italian,FELICE,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50118897,FELICE ON HUDSON,Manhattan,615,HUDSON STREET,10014.0,Italian,FELICE ON HUDSON,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
41721252,SANT AMBROEUS,Manhattan,265,LAFAYETTE STREET,10012.0,Italian,SANT AMBROEUS,Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50184232,"FELICE FIFTH AVE, LLC",Manhattan,220,5 AVENUE,10001.0,,"FELICE FIFTH AVE, LLC",Sant Ambroeus / Felice / Casa Lever,Three Hills Capital Partners
50116606,PETITE MAMAN,Manhattan,441,8 AVENUE,10001.0,Sandwiches,PETITE MAMAN,Maman,TriSpan
50110709,MAMAN,Manhattan,1424,3 AVENUE,10028.0,Coffee/Tea,MAMAN,Maman,TriSpan
50119639,MAMAN,Manhattan,152,COLUMBUS AVENUE,10023.0,French,MAMAN,Maman,TriSpan
50118259,MAMAN,Manhattan,114,WEST   41 STREET,10036.0,American,MAMAN,Maman,TriSpan
50125775,MAMAN,Manhattan,667,LEXINGTON AVENUE,10022.0,French,MAMAN,Maman,TriSpan
50166727,PETITE MAMAN,Manhattan,601,LEXINGTON AVENUE,10022.0,French,PETITE MAMAN,Maman,TriSpan
50085937,MAMAN,Manhattan,205,HUDSON STREET,10013.0,Coffee/Tea,MAMAN,Maman,TriSpan
50150087,MAMAN,Queens,47-16,AUSTELL PLACE,11101.0,French,MAMAN,Maman,TriSpan
50113707,MAMAN,Manhattan,211,WEST BROADWAY,10013.0,French,MAMAN,Maman,TriSpan
50129754,MAMAN,Queens,31-00,47 AVENUE,11101.0,Coffee/Tea,MAMAN,Maman,TriSpan
50168022,MAMAN,Manhattan,3,WEST   18 STREET,10011.0,French,MAMAN,Maman,TriSpan
50073537,MAMAN,Manhattan,22,WEST   25 STREET,10010.0,French,MAMAN,Maman,TriSpan
50052602,MAMAN,Brooklyn,80,KENT STREET,11222.0,French,MAMAN,Maman,TriSpan
50014481,MAMAN,Manhattan,239,CENTRE STREET,10013.0,French,MAMAN,Maman,TriSpan
50114996,MAMAN,Manhattan,12,WEST   48 STREET,10036.0,American,MAMAN,Maman,TriSpan
50179291,MAMAN,Manhattan,71,BROADWAY,10006.0,Bakery Products/Desserts,MAMAN,Maman,TriSpan
50116677,MAMAN,Brooklyn,154,COURT STREET,11201.0,Coffee/Tea,MAMAN,Maman,TriSpan
50116258,MAMAN,Manhattan,429,AMSTERDAM AVENUE,10024.0,French,MAMAN,Maman,TriSpan
50108034,MAMAN,Manhattan,375,HUDSON STREET,10014.0,New French,MAMAN,Maman,TriSpan
